uid,type,value,timestamp,extra
1,session_start,1520888518,1520888518,source:server
1,open_cell,288-1-3,1520888527312,url:/record_linkage
1,kapr,0.4444444444444444,1520888527342,url:/record_linkage
1,open_cell,288-1-4,1520888527830,url:/record_linkage
1,kapr,0.5025720164609049,1520888527863,url:/record_linkage
1,open_cell,288-1-5,1520888528225,url:/record_linkage
1,kapr,0.5669867398262457,1520888528253,url:/record_linkage
1,answer,p288a1,1520888529209,
1,answer,p36a1,1520888529815,
1,answer,p244a1,1520888530511,
1,answer,p129a1,1520888531103,
1,answer,p261a1,1520888531935,
1,answer,p204a1,1520888532975,
1,next_page,/record_linkage,1520888534039,url:/record_linkage
1,final_answer, p288a1,1520888534041,url:/record_linkage
1,final_answer, p36a1,1520888534041,url:/record_linkage
1,final_answer, p244a1,1520888534041,url:/record_linkage
1,final_answer, p129a1,1520888534041,url:/record_linkage
1,final_answer, p261a1,1520888534041,url:/record_linkage
1,final_answer, p204a1,1520888534041,url:/record_linkage
1,answer,p230a1,1520888536095,url:/record_linkage
1,answer,p155a1,1520888536695,url:/record_linkage
1,answer,p137a1,1520888537207,url:/record_linkage
1,answer,p207a1,1520888537799,url:/record_linkage
1,answer,p4a1,1520888538367,url:/record_linkage
1,answer,p75a1,1520888538967,url:/record_linkage
1,next_page,/record_linkage,1520888540399,url:/record_linkage
1,final_answer, p230a1,1520888540400,url:/record_linkage
1,final_answer, p155a1,1520888540400,url:/record_linkage
1,final_answer, p137a1,1520888540400,url:/record_linkage
1,final_answer, p207a1,1520888540400,url:/record_linkage
1,final_answer, p4a1,1520888540400,url:/record_linkage
1,final_answer, p75a1,1520888540400,url:/record_linkage
1,answer,p168a1,1520888542151,url:/record_linkage
1,answer,p144a1,1520888543640,url:/record_linkage
1,answer,p68a1,1520888544263,url:/record_linkage
1,answer,p173a1,1520888545144,url:/record_linkage
1,answer,p110a1,1520888545767,url:/record_linkage
1,answer,p38a1,1520888546423,url:/record_linkage
1,next_page,/record_linkage,1520888547695,url:/record_linkage
1,final_answer, p168a1,1520888547696,url:/record_linkage
1,final_answer, p144a1,1520888547696,url:/record_linkage
1,final_answer, p68a1,1520888547696,url:/record_linkage
1,final_answer, p173a1,1520888547696,url:/record_linkage
1,final_answer, p110a1,1520888547696,url:/record_linkage
1,final_answer, p38a1,1520888547696,url:/record_linkage
1,answer,p17a1,1520888549072,url:/record_linkage
1,answer,p294a1,1520888549719,url:/record_linkage
1,answer,p53a1,1520888550399,url:/record_linkage
1,answer,p98a1,1520888551536,url:/record_linkage
1,answer,p55a1,1520888552240,url:/record_linkage
1,answer,p224a1,1520888553487,url:/record_linkage
1,next_page,/record_linkage,1520888554335,url:/record_linkage
1,final_answer, p17a1,1520888554336,url:/record_linkage
1,final_answer, p294a1,1520888554336,url:/record_linkage
1,final_answer, p53a1,1520888554336,url:/record_linkage
1,final_answer, p98a1,1520888554336,url:/record_linkage
1,final_answer, p55a1,1520888554336,url:/record_linkage
1,final_answer, p224a1,1520888554336,url:/record_linkage
1,answer,p321a1,1520888555816,url:/record_linkage
1,answer,p359a1,1520888556520,url:/record_linkage
1,answer,p307a1,1520888557296,url:/record_linkage
