q_id,q_answer,q_type
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,2
14,1,2
15,1,2
16,1,2
17,1,2
18,1,2
19,1,2
20,1,2
21,1,2
22,1,2
23,1,2
24,1,2
25,1,3
26,1,3
27,1,3
28,1,3
29,1,3
30,1,3
31,0,4
32,0,4
33,0,4
34,0,4
35,0,4
36,0,4
37,1,5
38,1,5
39,1,5
40,1,5
41,1,5
42,1,5
43,1,6
44,1,6
45,1,6
46,1,6
47,1,6
48,1,6
49,1,6
50,1,6
51,1,6
52,1,6
53,1,6
54,1,6
55,1,7
56,1,7
57,1,7
58,1,7
59,1,7
60,1,7
61,1,7
62,1,7
63,1,7
64,1,7
65,1,7
66,1,7
67,0,8
68,0,8
69,0,8
70,0,8
71,0,8
72,0,8
73,0,9
74,0,9
75,0,9
76,0,9
77,0,9
78,0,9
79,0,9
80,0,9
81,0,9
82,0,9
83,0,9
84,0,9
85,1,10
86,1,10
87,1,10
88,1,10
89,1,10
90,1,10
91,1,11
92,1,11
93,1,11
94,1,11
95,1,11
96,1,11
97,1,11
98,1,11
99,1,11
100,1,11
101,1,11
102,1,11
103,1,12
104,1,12
105,1,12
106,1,12
107,1,12
108,1,12
109,1,12
110,1,12
111,1,12
112,1,12
113,1,12
114,1,12
115,0,13
116,0,13
117,0,13
118,0,13
119,0,13
120,0,13
121,0,13
122,0,13
123,0,13
124,0,13
125,0,13
126,0,13
127,0,14
128,0,14
129,0,14
130,0,14
131,0,14
132,0,14
133,1,15
134,1,15
135,1,15
136,1,15
137,1,15
138,1,15
139,0,16
140,0,16
141,0,16
142,0,16
143,0,16
144,0,16
145,0,16
146,0,16
147,0,16
148,0,16
149,0,16
150,0,16
151,1,17
152,1,17
153,1,17
154,1,17
155,1,17
156,1,17
157,0,18
158,0,18
159,0,18
160,0,18
161,0,18
162,0,18
163,0,18
164,0,18
165,0,18
166,0,18
167,0,18
168,0,18
169,0,19
170,0,19
171,0,19
172,0,19
173,0,19
174,0,19
175,0,19
176,0,19
177,0,19
178,0,19
179,0,19
180,0,19
181,0,20
182,0,20
183,0,20
184,0,20
185,0,20
186,0,20
187,0,20
188,0,20
189,0,20
190,0,20
191,0,20
192,0,20
193,1,21
194,1,21
195,1,21
196,1,21
197,1,21
198,1,21
199,1,21
200,1,21
201,1,21
202,1,21
203,1,21
204,1,21
205,0,22
206,0,22
207,0,22
208,0,22
209,0,22
210,0,22
211,0,22
212,0,22
213,0,22
214,0,22
215,0,22
216,0,22
217,1,23
218,1,23
219,1,23
220,1,23
221,1,23
222,1,23
223,1,23
224,1,23
225,1,23
226,1,23
227,1,23
228,1,23
229,1,24
230,1,24
231,1,24
232,1,24
233,1,24
234,1,24
235,1,24
236,1,24
237,1,24
238,1,24
239,1,24
240,1,24
241,0,25
242,0,25
243,0,25
244,0,25
245,0,25
246,0,25
247,0,25
248,0,25
249,0,25
250,0,25
251,0,25
252,0,25
253,0,26
254,0,26
255,0,26
256,0,26
257,0,26
258,0,26
259,0,26
260,0,26
261,1,27
262,1,27
263,1,27
264,1,27
265,1,27
266,0,28
267,0,28
268,0,28
269,0,28
270,0,28
271,0,28
272,0,28
273,0,28
274,0,28
275,0,28
276,0,28
277,0,28
278,1,29
279,1,29
280,1,29
281,1,29
282,1,29
283,1,29
284,1,29
285,1,29
286,1,29
287,1,29
288,1,29
289,1,29
290,0,30
291,0,30
292,0,30
293,0,30
294,0,30
295,0,30
296,0,30
297,0,30
298,0,30
299,0,30
300,0,30
301,0,30
302,0,31
303,0,31
304,0,31
305,0,31
306,0,31
307,0,31
308,0,31
309,0,31
310,0,31
311,0,31
312,0,31
313,0,31
314,0,32
315,0,32
316,0,32
317,0,32
318,0,32
319,0,32
320,0,32
321,0,32
322,0,32
323,0,32
324,0,32
325,0,32
326,1,33
327,1,33
328,1,33
329,1,33
330,1,33
331,1,33
332,1,33
333,1,33
334,1,33
335,1,33
336,1,33
337,1,33
338,0,34
339,0,34
340,0,34
341,0,34
342,0,34
343,0,34
344,0,34
345,0,34
346,0,34
347,0,34
348,0,34
349,0,34
350,1,35
351,1,35
352,1,35
353,1,35
354,1,35
355,1,35
356,1,35
357,1,35
358,1,35
359,1,35
360,1,35
361,1,35
362,1,36
363,1,36
364,1,36
365,1,36
366,1,36
367,1,36
368,1,36
369,1,36
370,1,36
371,1,36
372,1,36
373,1,36
