u_id,page,page_score,attention
2,1,1,1
2,2,1,1
2,3,0.8,1
2,4,0.6,1
2,5,0.8,1
2,6,0.8,1
2001,1,1,1
2001,2,0.8,1
2001,3,0.8,1
2001,4,1,1
2001,5,0.6,1
2001,6,0.8,1
2002,1,1,1
2002,2,1,0
2002,3,0.8,1
2002,4,0.6,1
2002,5,1,1
2002,6,0.8,1
2003,1,1,1
2003,2,0.8,1
2003,3,0.6,1
2003,4,0.8,1
2003,5,0.8,1
2003,6,0.8,1
2004,1,1,0
2004,2,0.4,1
2004,3,1,1
2004,4,1,1
2004,5,0.8,1
2004,6,0.8,1
2005,1,0.4,0
2005,2,0.6,1
2005,3,0.6,1
2005,4,0.2,1
2005,5,0.8,1
2005,6,0.6,1
2006,1,0.8,1
2006,2,1,1
2006,3,0.8,1
2006,4,1,1
2006,5,0.8,1
2006,6,0.8,1
3001,1,0.8,1
3001,2,1,1
3001,3,0.6,1
3001,4,1,1
3001,5,0.8,1
3001,6,0.6,1
3002,1,0.8,1
3002,2,0.8,1
3002,3,0.6,1
3002,4,1,1
3002,5,0.8,1
3002,6,0.8,1
3003,1,0.6,1
3003,2,0.8,0
3003,3,0.8,1
3003,4,0.4,1
3003,5,0.8,1
3003,6,0.6,1
3004,1,0.8,1
3004,2,0.8,1
3004,3,1,1
3004,4,0.8,1
3004,5,0.8,1
3004,6,1,1
3007,1,1,1
3007,2,1,1
3007,3,0.6,1
3007,4,1,1
3007,5,0.8,1
3007,6,1,1
3008,1,0.8,1
3008,2,1,1
3008,3,1,1
3008,4,1,1
3008,5,0.8,1
3008,6,1,1
3009,1,0.8,1
3009,2,1,1
3009,3,0.8,1
3009,4,0.6,1
3009,5,1,1
3009,6,1,1
3010,1,0.8,1
3010,2,1,1
3010,3,0.4,1
3010,4,0.4,1
3010,5,0.4,1
3010,6,0.6,1
3011,1,1,1
3011,2,1,1
3011,3,0.8,1
3011,4,1,1
3011,5,0.6,1
3011,6,1,1
4001,1,0.6,1
4001,2,0.6,1
4001,3,0.4,1
4001,4,0.4,1
4001,5,0.8,1
4001,6,1,1
4002,1,0.6,1
4002,2,0.6,1
4002,3,0.6,1
4002,4,0.6,1
4002,5,0.8,1
4002,6,0.2,1
4003,1,0.8,1
4003,2,0.8,1
4003,3,0.6,1
4003,4,0.4,1
4003,5,0.6,1
4003,6,0.6,1
4004,1,0.6,1
4004,2,0.4,0
4004,3,0.6,1
4004,4,0.6,1
4004,5,0.4,0
4004,6,0.2,1
4005,1,1,1
4005,2,0.8,1
4005,3,0.8,1
4005,4,1,1
4005,5,0.8,1
4005,6,0.75,1
4006,1,1,1
4006,2,0.6,1
4006,3,1,1
4006,4,0.8,1
4006,5,1,1
4006,6,1,1
4007,1,1,1
4007,2,0.6,1
4007,3,0.8,1
4007,4,0.8,1
4007,5,0.8,1
4007,6,1,1
4008,1,1,1
4008,2,0.8,1
4008,3,0.8,1
4008,4,1,1
4008,5,0.6,1
4008,6,0.8,1
4009,1,1,1
4009,2,1,1
4009,3,0.8,1
4009,4,0.8,1
4009,5,1,1
4009,6,0.8,1
4010,1,0.8,1
4010,2,0.8,1
4010,3,0.4,1
4010,4,0.6,1
4010,5,1,1
4010,6,0.4,1
4011,1,0.8,1
4011,2,0.8,1
4011,3,0.8,1
4011,4,0.4,1
4011,5,0.6,1
4011,6,0.6,1
4012,1,1,1
4012,2,0.8,1
4012,3,0.8,1
4012,4,0.6,1
4012,5,0.8,1
4012,6,0.6,0
