uid,type,value,timestamp,extra
1,session_start,1521315591,1521315591,source:server
1,main_section_start,1521315595,1521315595,url:/record_linkage
1,open_cell,318-1-0,1521315596,url:/record_linkage
1,kapr,0.4629629629629629,1521315596,id:318-1-0|new_mode:full|url:/record_linkage
1,answer,p318a1,1521315597004,
1,answer,p132a1,1521315597654,
1,answer,p326a1,1521315598255,
1,answer,p171a1,1521315599066,
1,answer,p214a1,1521315599544,
1,answer,p360a1,1521315600001,
1,next_page,/record_linkage,1521315601,url:/record_linkage
1,final_answer,p318a1,1521315601,url:/record_linkage
1,final_answer,p132a1,1521315601,url:/record_linkage
1,final_answer,p326a1,1521315601,url:/record_linkage
1,final_answer,p171a1,1521315601,url:/record_linkage
1,final_answer,p214a1,1521315601,url:/record_linkage
1,final_answer,p360a1,1521315601,url:/record_linkage
1,session_end,1521315603,1521315603,source:server
1,performance1,4 out of 36,1521315603,source:server
1,performance2,0 out of 271,1521315603,source:server
1,final_KAPR_section1,0.00462962962962963,1521315603,source:server|total:37.3778559101658
